Image,Name,Nationality,From,To,P,W,D,L,GF,GA,Win%[nb 1],Honours,Notes
,A. H. Albut,England,1889,26 May 1900,351,156,59,136,692,594,44.44,,[nb 2][nb 3]
,James West,England,27 May 1900,September 1903,113,46,20,47,159,147,40.71,,[nb 2][22]
,Ernest Mangnall,England,10 October 1903,9 September 1912,373,202,76,95,700,476,54.16,2 First Division titles 1 FA Cup 2 Charity Shields,[nb 2][23]
,T. J. Wallworth,England,9 September 1912,20 October 1912,6,3,2,1,11,7,50.0,,[nb 4][24]
,John Bentley,England,28 October 1912,28 December 1914,82,36,16,30,127,110,43.9,,[nb 2][25]
,Jack Robson,England,28 December 1914,31 October 1921,139,41,42,56,183,207,29.5,,[26]
,John Chapman,Scotland,31 October 1921,8 October 1926,221,86,58,77,287,274,38.91,,[27]
,Lal Hilditchp,England,8 October 1926,13 April 1927,33,10,10,13,38,47,30.3,,[28]
,Herbert Bamlett,England,13 April 1927,9 November 1931,183,57,42,84,280,374,31.15,,[29]
,Walter Crickmer,England,9 November 1931,13 July 1932,43,17,8,18,72,76,39.53,,[30]
,Scott Duncan,Scotland,13 July 1932,7 November 1937,235,92,53,90,371,362,39.15,1 Second Division title,[31]
,Walter Crickmer,England,9 November 1937,15 February 1945,76,30,24,22,131,112,39.47,,[30]
,Matt Busby,Scotland,1 October 1945,4 June 1969,1120,565,263,292,2286,1536,50.45,5 First Division titles 2 FA Cups 5 Charity Shields (inc. 2 shared) 1 European Cup,[32]
,Jimmy Murphy (caretaker),Wales,February 1958,June 1958,22,5,7,10,27,42,22.73,,[nb 5][33]
,Wilf McGuinness,England,4 June 1969,29 December 1970,87,32,32,23,127,111,36.78,,[34]
,Matt Busby,Scotland,29 December 1970,8 June 1971,21,11,3,7,38,30,52.38,,[32]
,Frank O'Farrell,Ireland,8 June 1971,19 December 1972,81,30,24,27,115,111,37.04,,[35]
,Tommy Docherty,Scotland,22 December 1972,4 July 1977,228,107,56,65,333,252,46.93,1 FA Cup 1 Second Division title,[36]
,Dave Sexton,England,14 July 1977,30 April 1981,201,81,64,56,290,240,40.3,1 Charity Shield (shared),[37]
,Ron Atkinson,England,9 June 1981,6 November 1986,292,146,79,67,461,266,50.0,2 FA Cups 1 Charity Shield,[38]
,Alex Ferguson,Scotland,6 November 1986,19 May 2013,1500,895,338,267,2769,1365,59.67,13 Premier League titles 5 FA Cups 4 League Cups 10 Community Shields (inc. 1 shared)[nb 6] 2 UEFA Champions Leagues 1 European Cup Winners' Cup 1 European Super Cup 1 Intercontinental Cup 1 FIFA Club World Cup,[39][40]
,David Moyes,Scotland,1 July 2013,22 April 2014,51,27,9,15,86,54,52.94,1 Community Shield,[41]
,Ryan Giggsp (caretaker),Wales,22 April 2014,11 May 2014,4,2,1,1,8,3,50.0,,[42]
,Louis van Gaal,Netherlands,16 July 2014,23 May 2016,103,54,25,24,158,98,52.43,1 FA Cup,[43]
,José Mourinho,Portugal,27 May 2016,18 December 2018,144,84,32,28,244,121,58.33,1 UEFA Europa League 1 League Cup 1 Community Shield,[44]
,Ole Gunnar Solskjær,Norway,19 December 2018[nb 7],21 November 2021,168,91,37,40,323,165,54.17,,[45]
,Michael Carrick (caretaker),England,21 November 2021,2 December 2021,3,2,1,0,6,3,66.67,,[46]
,Ralf Rangnick (interim),Germany,3 December 2021,22 May 2022,29,11,10,8,37,37,37.93,,[47]
,Erik ten Hag,Netherlands,23 May 2022,28 October 2024,128,70,23,35,217,165,54.69,1 FA Cup 1 League Cup,[48]
,Ruud van Nistelrooy (caretaker),Netherlands,28 October 2024,10 November 2024,4,3,1,0,11,3,75.0,,[49]
,Ruben Amorim,Portugal,11 November 2024,5 January 2026,63,24,18,21,103,95,38.1,,Appointed head coach.[21][50]
,Darren Fletcher (interim),Scotland,5 January 2026,13 January 2026,2,0,1,1,3,4,0.0,,[51]
,Michael Carrick,England,13 January 2026,Present,6,5,1,0,12,5,83.33,,Appointed head coach.[46]
